direction,level_type,entry_date,exit_date,entry_price,exit_price,tp_price,sl_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
LONG,resistance,2017-08-20 05:30:00,2017-08-20 08:15:00,4095.39,4054.44,4177.3,4054.44,6.031093,-247.0,49.15,-296.15,11,stop_loss
LONG,resistance,2017-08-20 08:15:00,2017-08-20 10:30:00,4184.68,4142.83,4268.37,4142.83,5.884713,-246.26,49.01,-295.26,9,stop_loss
SHORT,support,2017-08-21 02:15:00,2017-08-21 03:30:00,4061.19,4101.8,3979.97,4101.8,6.045476,-245.52,49.35,-294.87,5,stop_loss
SHORT,support,2017-08-21 05:30:00,2017-08-21 09:00:00,4023.03,4063.26,3942.57,4063.26,6.084496,-244.78,49.2,-293.98,14,stop_loss
SHORT,support,2017-08-21 13:15:00,2017-08-21 14:00:00,4007.19,3927.05,3927.05,4047.26,6.090206,488.09,48.32,439.77,3,take_profit
SHORT,support,2017-08-21 14:00:00,2017-08-21 14:15:00,3951.49,3991.0,3872.46,3991.0,6.203876,-245.15,49.27,-294.42,1,stop_loss
SHORT,support,2017-08-21 14:15:00,2017-08-21 14:30:00,3979.11,4018.9,3899.53,4018.9,6.142316,-244.41,49.13,-293.54,1,stop_loss
SHORT,support,2017-08-21 14:30:00,2017-08-21 15:00:00,4022.0,3941.56,3941.56,4062.22,6.05857,487.35,48.25,439.1,2,take_profit
SHORT,support,2017-08-21 18:45:00,2017-08-21 19:00:00,3918.8,3957.99,3840.42,3957.99,6.246132,-244.77,49.2,-293.97,1,stop_loss
SHORT,support,2017-08-21 19:00:00,2017-08-21 21:45:00,4022.74,4062.97,3942.29,4062.97,6.066474,-244.04,49.05,-293.09,11,stop_loss
SHORT,support,2017-08-22 00:45:00,2017-08-22 01:00:00,3790.0,3827.9,3714.2,3827.9,6.419677,-243.31,48.9,-292.21,1,stop_loss
SHORT,support,2017-08-22 01:00:00,2017-08-22 01:15:00,3884.99,3807.29,3807.29,3923.84,6.243909,485.15,48.03,437.12,1,take_profit
