asset,direction,signal_type,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,cost,pnl_net,bars_held,exit_reason
Bitcoin,SHORT,pullback,2025-12-24 18:00:00+00:00,2025-12-24 21:00:00+00:00,87256.9922,87607.7969,0.223215,-78.3,39.03,-117.34,3,ma_cross
Bitcoin,SHORT,pullback,2025-12-24 21:00:00+00:00,2025-12-24 22:00:00+00:00,87532.1641,87852.7524,0.222245,-71.25,38.98,-110.23,1,stop_loss
Bitcoin,SHORT,pullback,2025-12-29 00:00:00+00:00,2025-12-29 01:00:00+00:00,87858.1094,88064.4891,0.22117,-45.64,38.91,-84.55,1,stop_loss
Bitcoin,SHORT,breakout,2026-01-29 03:00:00+00:00,2026-01-30 16:00:00+00:00,87724.4219,82971.6016,0.221314,1051.87,37.78,1014.09,37,ma_cross
Bitcoin,SHORT,breakout,2026-01-31 17:00:00+00:00,2026-01-31 23:00:00+00:00,80232.4141,78665.0234,0.244508,383.24,38.85,344.39,6,stop_loss
Bitcoin,SHORT,breakout,2026-02-03 15:00:00+00:00,2026-02-03 20:00:00+00:00,77140.0938,75997.5703,0.255203,291.58,39.08,252.49,5,stop_loss
Bitcoin,SHORT,breakout,2026-02-04 18:00:00+00:00,2026-02-04 19:00:00+00:00,72412.4688,73594.0312,0.272562,-322.05,39.8,-361.84,1,stop_loss
Bitcoin,SHORT,breakout,2026-02-09 11:00:00+00:00,2026-02-09 15:00:00+00:00,68665.25,69639.9922,0.286382,-279.15,39.61,-318.76,4,stop_loss
Bitcoin,SHORT,breakout,2026-02-11 05:00:00+00:00,2026-02-11 14:00:00+00:00,67541.1953,67541.1953,0.290204,0.0,39.2,-39.2,9,stop_loss
Bitcoin,SHORT,breakout,2026-02-12 18:00:00+00:00,2026-02-12 22:00:00+00:00,65366.7031,66085.25,0.299738,-215.38,39.4,-254.78,4,stop_loss
Bitcoin,SHORT,breakout,2026-02-16 16:00:00+00:00,2026-02-16 21:00:00+00:00,67497.1797,68518.3906,0.289522,-295.66,39.38,-335.04,5,stop_loss
Bitcoin,SHORT,breakout,2026-02-17 15:00:00+00:00,2026-02-18 03:00:00+00:00,66837.2031,67636.9922,0.291379,-233.04,39.18,-272.22,12,ma_cross
Bitcoin,SHORT,breakout,2026-02-18 19:00:00+00:00,2026-02-19 06:00:00+00:00,66321.0,67208.1797,0.292826,-259.79,39.1,-298.89,11,stop_loss
Bitcoin,SHORT,breakout,2026-02-23 02:00:00+00:00,2026-02-24 15:00:00+00:00,64424.2773,64001.7031,0.300519,126.99,38.59,88.4,37,ma_cross
Bitcoin,SHORT,pullback,2026-02-24 21:00:00+00:00,2026-02-25 00:00:00+00:00,64471.1406,64236.2734,0.300575,70.6,38.69,31.91,3,ma_cross
Bitcoin,SHORT,pullback,2026-02-27 05:00:00+00:00,2026-02-27 08:00:00+00:00,67737.1328,67982.375,0.286176,-70.18,38.84,-109.02,3,ma_cross
Bitcoin,SHORT,breakout,2026-02-27 12:00:00+00:00,2026-02-28 13:00:00+00:00,66133.5391,64996.7266,0.292786,332.84,38.39,294.45,25,ma_cross
